_id,Substations,Telephone Numbers,Address,Voltage Class,Coordinates
1,Bawana,27791190/1193/1210,"400kV Sub-Station Bawana, Sector-5, DSIIDC Bawana, Bawana, Delhi-110039",400 kV,"28.79568, 77.0723"
2,Bamnauli,25314199/25314204,"Village-Bamnauli, P.O. Dhul Sirus, Near Chhawala Camp (BSF), Najafgarh-Bijwasan Road, Delhi-110077",400 kV,"28.5447, 77.03269"
3,Harsh Vihar,0120-6500138,"Harsh Vihar, Loni Road (Near Bhopura Chowk), Delhi-110094",400 kV,"28.71185, 77.29044"
4,Tikri Kalan(Mundka),65108444/7290010893,"Neewala Village Road, Near Vaishno Devi Mandir, New Delhi-110041",400 kV,"28.67671, 76.98639"
5,BTPS,26948637,"Badarpur Thermal Power Station Complex, Badarpur, New Delhi-110044",220 kV,"28.50765, 77.30015"
6,DSIDC Bawana,65005603/7290013476,"Near H Block, J.J. colony, Bawana Hanuman Mandir, Bawana,-110039",220 kV,"28.80361, 77.05284"
7,DIAL,25655090,"Near IGI Airport, Delhi",220 kV,"28.55616, 77.09995"
8,Electric Lane,23329790,"HCM Lane, Behind BSNL Building, Janpath, New Delhi.",220 kV,"28.62174, 77.21969"
9,Geeta Colony,22044528,"Near Sai Memorial Public School, Geeta Colony, Delhi -110031",220 kV,"28.65226, 77.26774"
10,Gazipur,22770009,"Village Gazipur, Near DDA Janta Flat, Delhi-110096",220 kV,"28.62961, 77.31898"
11,Gopalpur,27652190,"Near Burari, Outer Ring Road, Delhi-110009",220 kV,"28.72189, 77.21667"
12,Indraprastha,23370325,"IP Station, Delhi-110002",220 kV,"28.62711, 77.24726"
13,Khanjawala,25951677/25953185,"Near Police Station & DTC Depott., Ghewra Road, Delhi-110081",220 kV,"28.69137, 76.99758"
14,Kashmere Gate,23866577,"Kudasiya Ghat, Opp, I.S.B.T, Kashmeri Gate, Delhi-110006",220 kV,"28.66657, 77.22906"
15,Lodhi Road,24362750,"Near CGO Complex, Lodhi Road, New Delhi-110003",220 kV,"28.59262, 77.23759"
16,Maharani Bagh,26841323/26341324,"Maharani Bagh, Opp. Sarai Kale Khan ISBT, Behlolpur Khadar, Delhi - 110013",220 kV,"28.58704, 77.26738"
17,Masjid Moth,26241262,"Masjid Moth, Outer Ring Road, G.K.-I Near Chirag Delhi Flyover, Delhi-110048.",220 kV,"28.54181, 77.23242"
18,Mehrauli,26892360,"Near Vasant Kunj, D-2,, Kishangarh Village, New Delhi-110070",220 kV,"28.51996, 77.16834"
19,Najafgarh,69999237/69999238,"Opp. Delhi Jal Board Office, New Delhi-110043",220 kV,"28.61277, 76.99618"
20,Naraina,25699563,"Behind COD Bus Stand, Ring Road, Naraina, Delhi-Cantt, New Delhi-110010",220 kV,"28.61292, 77.13663"
21,Narela,27781434/22781771,"Piyo Maniyari Road, Near Kanya Gurkul, Narela, Delhi-110040",220 kV,"28.86308, 77.09617"
22,Okhla,29982007/29985044,"Opp. Pocket A-13, Kalkaji Extension, New Delhi-110019",220 kV,"28.52724, 77.26601"
23,Pappankalan-I,25085415/25080740,"Sector-2, Pappankalan, Phase-I, Delhi-110045",220 kV,"28.6083, 77.05726"
24,Papankalan-II,24506081,"Near Metro Rail Station, Sector-14, Dwarka, Delhi -110045.",220 kV,"28.60205, 77.02661"
25,Papankalan-III,"","Sector-19 B, Dwarka, New Delhi- 110075",220 kV,"28.57641, 77.04328"
26,Park Street,23744910/23364916,"Opp. Talkatora Stadium, Near RML Hospital, Park Street, New Delhi- 110001",220 kV,"28.62529, 77.19523"
27,Patparganj,22476611/22476241,"Near Mother Diary, Mandawali, Fazalpur, Delhi-110092",220 kV,"28.62779, 77.2942"
28,Peeragarhi,"25276576, 25276578-","A-1 Block Near Milansaar Apptt. Opp. A-1/266, Paschim Vihar, New Delhi- 110063",220 kV,"28.67118, 77.09605"
29,Pragati,23378308,"Pragti Power Station Complex, IP Estate, Ring Road, Delhi-110002",220 kV,"28.61508, 77.25007"
30,Preet Vihar,22372310,"Preet Vihar, Near Kadkadi Mod, Behind (Deepak Memorial Hospital), Delhi-110092",220 kV,"28.63854, 77.29483"
31,Rajghat Power House,26895886,"Control Room, Inside Rajghat Power House, New Delhi-110002",220 kV,"28.64062, 77.2556"
32,Ridge Valley,24112187,"Dhaula Kaun, Round About, New Delhi- 110021",220 kV,""
33,Rohini-I,27573965,"Near F-2 Pocket, Rohini, Delhi-110085",220 kV,"28.73254, 77.10797"
34,Rohini-II,7428366440,"Phase-IV, Rohini Sector-29, Landmark Opp. CNG Pump Station, Delhi-110085",220 kV,"28.72751, 77.1428"
35,R. K. Puram,"","Sector-4, R. K. Puram, Near Sultani Masjid, New Delhi- 110022",220 kV,"28.55539, 77.17773"
36,Sarita Vihar,26940624/9643740060,"Opp. Pocket - E, Near Priyanka Complex, Sarita Vihar, Delhi - 110044",220 kV,"28.52751, 77.303"
37,Shalimar Bagh,27854692,"Sector-19, Rohini, Opp. Rohini District, Jail, Delhi-110089",220 kV,"28.72746, 77.14096"
38,South of Wazirabad,22855028/22566216,"Opp. ViiI. Garhi, Near Khajuri Khas Chowk, Delhi-110053",220 kV,""
39,Subzi Mandi,23855513,"Kabir Basti Road, Near Barafkhana Chowk,Subzi Mandi, Delhi-110007",220 kV,"28.66661, 77.19888"
40,Trauma Centre,32973334,"GIS, Trauma, IMS Center, Ansari Nagar, West, New Delhi",220 kV,"28.56818, 77.20068"
41,Tughlakabad,"","Behind Air Force Residential Quarter, Karni singh, Shooting Range Road (Suraj Kund Road) New Delhi- 110044",220 kV,"28.50568, 77.26196"
42,Vasant Kunj,26895886,"C-9 Vasant Kunj, Delhi-110070.",220 kV,"28.53959, 77.14348"
43,Wazirpur,27373358/27373359,"A Block, Wazirpur Industrial Area, New Delhi - 110052",220 kV,"28.69892, 77.16073"
