_id;Sr No.;Year;Region;Sub Region;Motor Cycles;Scooters;Moped;Cars;Jeeps;Stn. Wagons;Taxis meter fited;Luxury /Turist Cabs/;Auto-rikshaws;Stage carriages;Contract carriages /Mini Bus;School Buses;Private Service Vehicles;Ambulances;Articulated/Multi.;Trucks & Lorries;Tanker;Delivery Van (4 wheelers);Delivery Van (3 wheelers);Tractors;Trailors;Others
754;754;2015-2016;Greater Mumbai;Borivali;166158;67944;183;126870;136;0;324;2954;7193;0;71;165;19;24;0;0;0;1452;0;0;0;0
755;755;2015-2016;Thane Region;Thane;747307;250233;13747;390984;43025;5469;2392;31879;91012;1050;10520;1107;1725;1625;10561;73155;12195;66652;57139;1530;8494;2938
756;756;2015-2016;Thane Region;Kalyan;463940;73704;7749;95564;4099;129;645;4266;39906;2023;903;364;230;446;211;9906;1164;8277;15209;889;403;718
757;757;2015-2016;Thane Region;Vashi Navi Mumbai;155576;11253;5;98120;4073;570;288;9771;16195;160;3533;826;352;297;4627;15945;4772;4594;17150;31;3282;200
758;758;2015-2016;Thane Region;Vasai;143754;39925;668;40901;202;72;12;2131;7868;769;724;173;79;204;663;2077;138;11255;1837;106;39;474
759;759;2015-2016;Panvel Region;Panvel;144124;7702;5;81767;463;0;56;4002;13390;74;293;927;193;250;20962;20867;2504;7409;2839;296;77;1261
760;760;2015-2016;Panvel Region;Pen-Raigad;194272;29243;1389;36656;12423;191;0;6370;10146;1043;321;424;235;282;844;7718;928;9691;3671;1406;2322;2712
761;761;2015-2016;Panvel Region;Ratnagiri;134127;58485;7763;30176;10000;508;38;555;12465;45;530;149;103;334;90;7951;191;10433;6380;679;596;7025
762;762;2015-2016;Panvel Region;Sindhudurg;88534;38499;4821;13894;3020;725;285;84;9865;1911;129;49;58;113;4;4438;38;5428;1689;523;389;121
763;763;2015-2016;Kolhapur Region;Kolhapur;758559;109023;53835;93082;20743;67;400;843;15459;914;1264;485;228;334;861;18321;1001;18266;12171;38622;31080;2690
764;764;2015-2016;Kolhapur Region;Sangli;420795;76999;51634;59977;21099;352;501;1409;8948;870;74;460;79;192;172;9316;809;15471;7160;27216;18421;1163
765;765;2015-2016;Kolhapur Region;Satara;400371;58868;53793;47630;16895;74;926;2836;7181;836;210;431;69;210;0;7575;294;13400;6416;24668;18133;1165
766;766;2015-2016;Kolhapur Region;Karad;89918;4777;4387;15755;1999;0;403;1342;1902;0;63;199;18;147;0;3604;82;4645;1292;6406;6063;312
767;767;2015-2016;Pune Region;Pune;1667451;454907;195312;496811;41840;876;270;9806;45004;2540;6339;2186;1272;1167;3994;27501;3184;38626;30493;23047;12569;6808
