_id;Sr No.;Year;Region;Sub Region;Motor Cycles;Scooters;Moped;Cars;Jeeps;Stn. Wagons;Taxis meter fited;Luxury /Turist Cabs/;Auto-rikshaws;Stage carriages;Contract carriages /Mini Bus;School Buses;Private Service Vehicles;Ambulances;Articulated/Multi.;Trucks & Lorries;Tanker;Delivery Van (4 wheelers);Delivery Van (3 wheelers);Tractors;Trailors;Others
820;820;2016-2017;Pune Region;Baramati;236965;6881;730;29880;4660;8;0;646;1584;0;210;326;101;126;223;6650;548;11858;5852;17728;16214;848
821;821;2016-2017;Pune Region;Akluj;190484;871;200;23924;2969;13;21;320;375;63;80;189;9;68;45;2578;110;6799;3392;13829;7296;900
822;822;2016-2017;Nashik Region;Nashik;815599;220350;54882;155647;26442;94;2100;3656;22229;950;1548;945;203;639;48;13224;838;30784;12937;69030;28751;5944
823;823;2016-2017;Nashik Region;Ahmednagar;380889;80995;43416;38736;13397;254;887;1298;6139;764;136;469;85;255;198;8289;543;14903;7604;26318;13400;2475
824;824;2016-2017;Nashik Region;Srirampur;477071;29257;29692;39521;12670;792;1359;1917;5329;0;233;565;72;184;251;6363;758;12307;11807;32368;19604;1484
825;825;2016-2017;Nashik Region;Malegaon;264512;9561;11721;21918;2440;2;1112;342;8798;0;61;219;12;100;55;4960;128;7688;3826;25506;18712;335
826;826;2016-2017;Dhule Region;Dhule;230302;37324;29247;24147;5918;401;154;2922;12779;673;335;195;94;161;1548;10782;799;4932;7702;18410;14634;436
827;827;2016-2017;Dhule Region;Jalgaon;492486;91067;64272;37544;12181;550;2957;542;30196;0;485;399;91;227;0;8320;339;7035;15304;33112;22522;1458
828;828;2016-2017;Dhule Region;Nandurbar;105589;20683;4005;14782;4879;1565;45;407;834;0;90;47;23;72;0;708;81;1341;3950;10452;5208;290
829;829;2016-2017;Aurangabad Region;Aurangabad;795776;89557;47406;63826;29322;452;59;2743;27806;5959;1544;1114;1997;504;0;14086;4727;26403;30393;24852;14901;492
830;830;2016-2017;Aurangabad Region;Jalna;222008;14703;12677;11050;6516;128;615;143;6483;242;27;243;8;118;5;3125;265;3856;6562;14913;7309;551
831;831;2016-2017;Aurangabad Region;Beed;146552;18631;18649;8647;16730;1;0;187;8091;440;219;46;36;19;81;4322;184;5490;9584;9395;5710;68
832;832;2016-2017;Latur Region;Latur;233115;29023;39248;28795;13913;129;383;1149;11997;12;615;522;63;97;35;7829;218;10636;7554;12698;6888;484
833;833;2016-2017;Latur Region;Osmanabad;137167;13993;4941;11396;5951;54;0;1443;4812;307;23;218;8;64;23;5404;183;6147;3339;13038;5265;450
834;834;2016-2017;Latur Region;Ambejogai;77217;6305;3789;5717;3447;0;73;340;3185;0;21;123;4;25;212;2606;218;2380;3297;4453;2160;156
835;835;2016-2017;Nanded Region;Nanded;332609;16927;30109;23271;9334;58;4;2013;25164;445;444;392;57;182;2;15300;361;8780;9710;7774;4802;250
836;836;2016-2017;Nanded Region;Parbhani;190538;5791;12351;13050;9976;18;313;246;13263;0;150;88;11;144;25;5293;218;3393;7400;9007;3697;398
837;837;2016-2017;Nanded Region;Hingoli;92577;5514;6704;6114;4013;0;150;1145;3880;96;141;32;24;56;0;1780;70;2925;1045;7280;3644;51
838;838;2016-2017;Amrawati Region;Amrawati;375773;80049;77503;41247;5752;363;51;1612;16612;561;435;513;139;312;229;8483;259;8307;4510;14930;9146;573
839;839;2016-2017;Amrawati Region;Buldhana;243454;22868;28439;12756;6629;186;160;1664;14563;442;99;306;54;179;21;3194;61;5888;5152;21400;11645;178
840;840;2016-2017;Amrawati Region;Yawatmal;230404;48910;51705;18515;6707;41;94;1456;13430;395;436;385;103;124;330;5074;119;6456;3727;10361;6484;51
841;841;2016-2017;Amrawati Region;Akola;206691;69685;32703;22922;4418;8;48;2002;14040;467;240;216;45;168;6;4953;155;6355;3079;11667;7415;474
842;842;2016-2017;Amrawati Region;Washim;115596;20466;17409;6213;3881;2;4;519;7891;1;61;79;3;67;4;1437;41;3002;1449;11161;6723;86
843;843;2016-2017;Nagpur(U) Region;Nagpur;475036;327913;282745;113131;31870;842;47;4134;9001;1779;942;1000;1317;648;936;12188;2589;15485;7440;5493;5406;1269
844;844;2016-2017;Nagpur(U) Region;Wardha;141608;17197;43446;11721;3590;62;0;361;4870;240;134;367;46;79;176;1695;51;3772;3209;7875;3151;489
845;845;2016-2017;Nagpur(U) Region;Nagpur(East);161955;16640;682;21647;7095;0;36;1944;7787;0;227;979;19;129;344;3572;394;5448;3766;289;41;29
846;846;2016-2017;Nagpur(R) Region;Nagpur;259790;72901;29913;25583;12960;33;0;1689;5051;2881;523;1277;323;223;1175;11281;157;10931;2158;11615;3495;1218
847;847;2016-2017;Nagpur(R) Region;Gadchiroli;80108;19253;1952;4500;2411;1;1;431;570;4;38;75;47;166;4;477;28;1781;143;6501;3566;114
848;848;2016-2017;Nagpur(R) Region;Chandrapur;251002;84311;57565;26496;7611;61;136;1006;7687;361;255;449;118;380;1303;9391;375;7789;2353;12389;6875;854
849;849;2016-2017;Nagpur(R) Region;Gondia;154219;30156;19281;9264;4135;0;0;351;845;7;182;287;69;97;4;1843;137;2961;431;7837;5016;226
850;850;2016-2017;Nagpur(R) Region;Bhandara;125702;37923;20673;10616;2936;10;0;243;1267;252;75;213;52;98;205;1290;72;2230;595;10358;5734;152
851;851;2017-2018;Greater Mumbai;Mumbai(C);362487;211410;7686;327542;10412;2177;40448;23863;1;4951;2292;188;481;735;11;2044;131;17105;5983;133;99;704
852;852;2017-2018;Greater Mumbai;Mumbai(W);379306;190142;11829;324600;13691;706;10009;17322;76578;0;1363;840;220;170;3;1783;155;4324;6341;18;0;21
853;853;2017-2018;Greater Mumbai;Mumbai(E);333023;125368;11521;169074;5285;843;7733;15902;70241;0;786;764;352;330;0;823;180;7844;9039;43;11;937
854;854;2017-2018;Greater Mumbai;Borivali;229808;90183;192;157423;125;0;2062;10553;35249;2;189;1077;38;61;0;0;429;4793;52;0;0;1
855;855;2017-2018;Thane Region;Thane;843715;297194;13608;433402;45414;5469;3398;38546;107157;1058;12793;1283;1758;1764;10658;77909;12487;72642;58812;1646;8951;3357
856;856;2017-2018;Thane Region;Kalyan;601959;76014;9148;123090;4487;129;793;7471;57077;320;2799;528;234;517;459;10751;1244;10653;16867;984;458;794
857;857;2017-2018;Thane Region;Vashi Navi Mumbai;199046;11253;5;115245;4073;570;1641;12570;22324;304;3754;864;333;271;4686;16978;5285;5295;18930;31;2925;404
858;858;2017-2018;Thane Region;Vasai;200000;68550;815;70689;276;72;175;5186;17393;791;1260;181;122;287;91;5959;288;15673;1944;254;72;612
859;859;2017-2018;Panvel Region;Panvel;204405;12583;69;102843;467;3;269;9635;21368;92;550;1448;251;347;23372;28350;2496;9592;3234;312;87;1718
860;860;2017-2018;Panvel Region;Pen-Raigad;221625;37330;1435;38340;12861;191;166;6775;11436;1350;505;517;243;307;896;8157;953;10912;3820;1491;2326;3061
861;861;2017-2018;Panvel Region;Ratnagiri;157105;65384;9211;35287;11556;509;67;737;13144;45;615;182;106;372;81;8362;209;11434;7171;737;607;7135
862;862;2017-2018;Panvel Region;Sindhudurg;109727;45807;4911;16360;3961;725;358;106;10703;1914;172;63;63;126;12;4783;39;6491;1770;587;400;157
863;863;2017-2018;Kolhapur Region;Kolhapur;884167;129755;57598;114238;20632;67;400;1023;16375;914;1742;623;262;385;869;19395;1024;21701;12438;40836;32346;3094
864;864;2017-2018;Kolhapur Region;Sangli;504174;89112;51699;76199;22834;352;501;1815;9563;870;110;561;82;209;196;10386;844;19693;7796;33409;18913;1430
865;865;2017-2018;Kolhapur Region;Satara;456804;66997;62707;57759;17729;74;907;3477;7593;836;318;532;79;235;3;8498;300;15514;6790;27925;18916;1420
866;866;2017-2018;Kolhapur Region;Karad;118263;4797;4886;21175;1995;0;403;1420;2375;0;92;220;34;158;0;3878;82;5373;1446;7097;6394;377
867;867;2017-2018;Pune Region;Pune;1963458;523827;195966;586259;41850;876;270;27417;59151;2623;11986;2413;1302;1260;8004;39242;4001;46035;34487;24939;12704;6746
868;868;2017-2018;Pune Region;Solapur;568356;81072;72939;51192;15861;192;20;2409;11938;292;196;470;124;286;67;11026;990;15510;10779;27252;14944;653
869;869;2017-2018;Pune Region;Pimpri-Chinchwad;970053;279645;37618;260752;22545;60;0;27751;8572;3704;6969;490;706;1693;118;17452;1561;35705;26511;18671;4109;3893
870;870;2017-2018;Pune Region;Baramati;261941;6899;1784;35034;4651;8;0;735;1588;0;227;347;102;135;321;7571;588;13531;5884;19991;16494;943
871;871;2017-2018;Pune Region;Akluj;211585;871;269;25301;3094;13;0;374;529;63;80;228;9;77;47;2789;117;8160;3578;16057;7403;960
872;872;2017-2018;Nashik Region;Nashik;895774;221528;57327;171387;26394;94;2147;3825;22795;979;1574;1210;206;672;52;16119;839;31175;13903;71157;31495;6099
873;873;2017-2018;Nashik Region;Ahmednagar;401821;99665;44425;42798;14337;254;873;1364;6125;761;162;510;93;263;222;8600;596;16850;7834;29838;13554;2554
874;874;2017-2018;Nashik Region;Shrirampur;518494;29478;30441;43147;12630;792;1357;1999;5425;0;267;570;96;184;278;6570;952;13714;12964;34013;19754;1526
875;875;2017-2018;Nashik Region;Malegaon;287738;9818;12274;25073;2440;2;1115;385;8883;88;70;242;13;101;96;5305;168;8626;4223;27957;18990;1228
876;876;2017-2018;Dhule Region;Dhule;257586;37510;32211;27456;6476;164;213;3025;13062;691;417;196;110;143;1794;12090;521;5464;8734;20047;14455;572
877;877;2017-2018;Dhule Region;Jalgaon;546439;92094;66733;41805;12035;550;2954;716;30406;0;553;469;96;249;1;8952;313;7630;16540;35285;24621;1624
878;878;2017-2018;Dhule Region;Nandurbar;115059;21203;4505;14195;4624;1427;48;426;832;0;109;51;0;24;0;1044;30;1828;3855;11694;4130;424
879;879;2017-2018;Aurangabad Region;Aurangabad;877313;89572;48872;73764;29324;452;87;3649;31105;5968;1806;1124;2009;521;2;15395;4781;28446;31116;27476;15121;822
880;880;2017-2018;Aurangabad Region;Jalna;242842;17753;12919;12239;7102;159;599;154;6754;248;36;265;9;122;5;3303;263;4684;6777;16454;7505;729
881;881;2017-2018;Aurangabad Region;Beed;157767;23298;19597;9471;17280;1;0;235;8287;440;241;57;37;21;133;4545;234;5888;9746;10943;5742;154
882;882;2017-2018;Latur Region;Latur;259813;34747;42799;33403;15483;129;584;913;12414;10;478;559;63;114;43;8218;236;12472;8148;14328;6935;588
883;883;2017-2018;Latur Region;Osmanabad;150837;18472;5825;13132;6111;54;0;1509;4958;307;25;236;9;66;21;5716;186;6708;3479;14760;5248;513
884;884;2017-2018;Latur Region;Ambejogai;86698;8456;4054;6432;3685;0;81;368;3186;0;24;142;4;26;212;2745;234;2612;3439;5074;2173;190
885;885;2017-2018;Nanded Region;Nanded;371575;16866;31173;25609;9211;58;0;2104;25898;432;505;401;57;196;6;15826;361;9856;10520;9652;4814;326
886;886;2017-2018;Nanded Region;Parbhani;211747;6107;12527;14653;10349;18;313;258;10428;0;160;117;11;150;26;5565;230;3437;8076;10028;3704;448
887;887;2017-2018;Nanded Region;Hingoli;102357;7091;6779;6930;4241;0;150;1145;3880;96;156;38;38;54;0;1951;70;3359;1099;8431;3672;90
888;888;2017-2018;Amrawati Region;Amaravati;411115;89261;77774;47343;5528;365;45;1681;17364;556;463;547;139;324;8;8700;239;8990;4864;16894;9104;689
889;889;2017-2018;Amrawati Region;Buldhana;258784;26622;36389;14547;7051;186;158;1673;14647;442;99;326;54;179;0;3452;88;6691;5489;22732;11834;329
890;890;2017-2018;Amrawati Region;Yavatmal;251054;51685;56859;19969;7351;41;82;1491;13543;402;449;421;103;131;440;5306;178;7145;3980;11296;6568;82
891;891;2017-2018;Amrawati Region;Akola;221158;80368;33107;25179;4418;8;64;2002;14885;479;290;242;47;179;6;5186;169;7207;3234;12776;7651;505
892;892;2017-2018;Amrawati Region;Washim;125321;23663;17584;7136;4135;2;7;522;7894;1;56;87;3;71;5;1597;42;3385;1517;12429;6799;121
893;893;2017-2018;Nagpur(U) Region;Nagpur(City);487388;330401;282821;115988;31517;842;110;4748;9642;1828;961;1074;1317;663;958;12202;2589;15849;7512;5540;5413;1339
894;894;2017-2018;Nagpur(U) Region;Wardha;153925;17197;52914;13555;3695;64;1;393;5014;240;139;419;46;90;206;1793;51;4228;3498;8376;3186;823
895;895;2017-2018;Nagpur(U) Region;Nagpur East;200416;30162;1877;28788;8441;1;117;2488;9711;4;272;1068;19;150;497;3833;438;6340;4464;402;53;73
896;896;2017-2018;Nagpur(R) Region;Nagpur Rural;292925;83106;32112;29634;14171;33;33;1938;5129;2625;724;1470;335;224;1502;12391;217;12095;2409;13044;3580;1437
897;897;2017-2018;Nagpur(R) Region;Gadchiroli;92015;22833;1974;5212;3036;1;1;442;594;4;44;93;45;165;4;512;29;2088;157;7559;3743;133
898;898;2017-2018;Nagpur(R) Region;Chandrapur;272891;96182;58270;30185;7630;63;136;1096;7735;358;264;498;126;393;1497;9866;280;8377;2505;13576;7034;1016
899;899;2017-2018;Nagpur(R) Region;Gondia;167075;35236;19699;10472;4357;6;0;368;957;11;170;325;67;102;4;1887;139;3241;463;8999;5212;256
900;900;2017-2018;Nagpur(R) Region;Bhandara;136961;44153;20684;12560;3149;10;0;270;1288;252;86;230;56;106;205;1483;77;2556;620;11264;5900;183
